,loc_inicio,loc_fim,multip_g,numero_passos,variacao_altura
303,"[24, 18]","[24, 11]",0.6,7.0,3.0
304,"[28, 1]","[21, 20]",0.6,29.0,6.0
305,"[3, 19]","[2, 25]",0.6,16.0,-18.0
306,"[10, 24]","[3, 25]",0.6,19.0,0.0
307,"[16, 13]","[15, 27]",0.6,71.0,2.0
308,"[8, 1]","[1, 19]",0.6,37.0,-9.0
309,"[9, 28]","[20, 29]",0.6,28.0,-12.0
310,"[15, 22]","[4, 11]",0.6,50.0,-3.0
311,"[11, 21]","[26, 10]",0.6,,
312,"[15, 0]","[10, 29]",0.6,,
313,"[23, 9]","[26, 6]",0.6,3.0,-10.0
314,"[24, 9]","[23, 5]",0.6,29.0,3.0
315,"[27, 2]","[15, 16]",0.6,64.0,-16.0
316,"[9, 18]","[13, 27]",0.6,75.0,1.0
317,"[20, 26]","[1, 17]",0.6,35.0,0.0
318,"[29, 29]","[23, 12]",0.6,25.0,0.0
319,"[1, 9]","[11, 21]",0.6,38.0,11.0
320,"[2, 20]","[15, 3]",0.6,40.0,-6.0
321,"[10, 8]","[18, 0]",0.6,20.0,-4.0
322,"[27, 0]","[17, 19]",0.6,124.0,11.0
323,"[22, 29]","[2, 15]",0.6,32.0,-4.0
324,"[0, 10]","[10, 2]",0.6,28.0,14.0
325,"[1, 23]","[12, 25]",0.6,61.0,11.0
326,"[27, 14]","[12, 25]",0.6,,
327,"[22, 14]","[8, 27]",0.6,56.0,10.0
328,"[24, 28]","[6, 7]",0.6,49.0,7.0
329,"[18, 10]","[21, 1]",0.6,,
330,"[7, 28]","[22, 22]",0.6,84.0,10.0
331,"[4, 1]","[12, 23]",0.6,122.0,11.0
332,"[29, 9]","[20, 11]",0.6,38.0,-2.0
333,"[5, 18]","[14, 12]",0.6,35.0,5.0
334,"[28, 28]","[10, 15]",0.6,59.0,-9.0
335,"[19, 4]","[2, 3]",0.6,122.0,-3.0
336,"[14, 5]","[6, 26]",0.6,36.0,13.0
337,"[17, 21]","[6, 6]",0.6,59.0,-12.0
338,"[15, 2]","[14, 15]",0.6,36.0,-9.0
339,"[28, 13]","[16, 5]",0.6,27.0,-5.0
340,"[28, 13]","[10, 7]",0.6,37.0,-13.0
341,"[26, 6]","[5, 0]",0.6,89.0,11.0
342,"[18, 24]","[26, 1]",0.6,88.0,-2.0
343,"[17, 3]","[1, 17]",0.6,43.0,9.0
344,"[21, 9]","[22, 16]",0.6,56.0,-12.0
345,"[15, 5]","[27, 1]",0.6,38.0,17.0
346,"[5, 28]","[6, 28]",0.6,1.0,3.0
347,"[6, 5]","[25, 18]",0.6,51.0,7.0
348,"[24, 14]","[19, 29]",0.6,22.0,2.0
349,"[22, 18]","[27, 20]",0.6,7.0,4.0
350,"[6, 10]","[8, 1]",0.7,31.0,-6.0
351,"[19, 15]","[8, 12]",0.7,20.0,-8.0
352,"[9, 10]","[10, 4]",0.7,23.0,-10.0
353,"[24, 18]","[24, 11]",0.7,55.0,3.0
354,"[28, 1]","[21, 20]",0.7,31.0,6.0
355,"[3, 19]","[2, 25]",0.7,16.0,-18.0
356,"[10, 24]","[3, 25]",0.7,19.0,0.0
357,"[16, 13]","[15, 27]",0.7,68.0,2.0
358,"[8, 1]","[1, 19]",0.7,62.0,-9.0
359,"[9, 28]","[20, 29]",0.7,118.0,-12.0
360,"[15, 22]","[4, 11]",0.7,102.0,-3.0
361,"[11, 21]","[26, 10]",0.7,68.0,-13.0
362,"[15, 0]","[10, 29]",0.7,,
363,"[23, 9]","[26, 6]",0.7,3.0,-10.0
364,"[24, 9]","[23, 5]",0.7,29.0,3.0
365,"[27, 2]","[15, 16]",0.7,64.0,-16.0
366,"[9, 18]","[13, 27]",0.7,,
367,"[20, 26]","[1, 17]",0.7,35.0,0.0
368,"[29, 29]","[23, 12]",0.7,25.0,0.0
369,"[1, 9]","[11, 21]",0.7,52.0,11.0
370,"[2, 20]","[15, 3]",0.7,40.0,-6.0
371,"[10, 8]","[18, 0]",0.7,20.0,-4.0
372,"[27, 0]","[17, 19]",0.7,131.0,11.0
373,"[22, 29]","[2, 15]",0.7,32.0,-4.0
374,"[0, 10]","[10, 2]",0.7,28.0,14.0
375,"[1, 23]","[12, 25]",0.7,61.0,11.0
376,"[27, 14]","[12, 25]",0.7,138.0,2.0
377,"[22, 14]","[8, 27]",0.7,56.0,10.0
378,"[24, 28]","[6, 7]",0.7,58.0,7.0
379,"[18, 10]","[21, 1]",0.7,,
380,"[7, 28]","[22, 22]",0.7,50.0,10.0
381,"[4, 1]","[12, 23]",0.7,137.0,11.0
382,"[29, 9]","[20, 11]",0.7,41.0,-2.0
383,"[5, 18]","[14, 12]",0.7,42.0,5.0
384,"[28, 28]","[10, 15]",0.7,58.0,-9.0
385,"[19, 4]","[2, 3]",0.7,129.0,-3.0
386,"[14, 5]","[6, 26]",0.7,89.0,13.0
387,"[17, 21]","[6, 6]",0.7,112.0,-12.0
